抓取时间,抓取时刻,订单号,安,非,赔,保,农,订单标题,金额(元）,年利率,期限（月）,还款方式,每月还款金额,进度,借款状态,剩余时间,结束时间,总投标数,浏览量,借款id,借入信用等级,借入信用分数,借出信用分数,成功次数,流标次数,身份认证,视频认证,学历认证,手机认证,借款目的,性别,年龄,婚姻状况,文化程度,住宅状况,是否购车,关于我,我想要使用这笔款项做什么,我的还款能力说明
2014/03/04,15:01:37,461180,0,0,0,0,0,【个人消费】mmmmmmmmmmmmmmmmmmmmmmmmmmm,3000,24,7,等额本息，每月还款,464,0.00,投标已结束,,2014/2/28,0,72,wangjiahao520,E,40,30,0,6,1,1,0,1,,,,,,,,mmmmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmm,mmmmmmmmmmmmmmmmmmmmmm
2014/03/04,15:01:40,461181,0,0,0,0,0,【个人消费】上次流标给妈妈购买助听器,3000,13,7,等额本息，每月还款,448,0.00,投标已结束,,2014/3/1,0,996,jun10660,HR,17,10,0,4,0,0,0,0,,,,,,,,大家好，我叫王超，目前在一家事业单位上班，工资每个月在2600，代缴养老保险，大家请放心，一定按时还款,妈妈身体越来越不好，听力也在下降，想给妈妈佩戴助听器,一个月工资2600，大家放心，一定按时还款
2014/03/04,15:01:43,461182,0,0,0,0,0,【实体经营】扩大商行经营项目,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天17时11分,,0,660,w14782175888,HR,10,10,0,0,0,0,0,1,实体经营,男,42,已婚,大专,商住两用,是,我从事家电行业已经10多年了，在这行业中叶很有经验,这笔款主要就是进货，直接到广东厂家进货，回来做家电批发,家电的利润还可以，赚钱没问题。
2014/03/04,15:01:46,461183,0,0,0,0,0,【其他】家里老人&#30524;睛出了点问题 ，需要一笔医药费。,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时12分,,0,282,mlaxm,HR,0,0,0,0,0,0,0,0,其他,男,26,未婚,本科,租用,没有,我是一名在职员工 ，为了爸爸筹点医药费。,没有其他了，我用上了我的积蓄，求大家帮点忙，我不想让老人自己掏钱。,我每月有固定工资收入，每月四千左右，还款能力没问题。
2014/03/04,15:01:49,461184,0,0,0,0,0,【实体经营】资金周转不开，想借一部分钱做周转资金,3000,13,10,等额本息，每月还款,319,0.00,正在预审,10天17时13分,,0,234,qq5168092,HR,0,0,0,0,0,0,0,0,实体经营,男,27,已婚,中专,与父母共住,没有,我是个体经营，我的资金都支付了货款，有点周转不开,我想借这笔钱作为每月的周转资金，希望大家能帮下,每月月底我会按时还款，请大家放心，我还想申请提高额度呢
2014/03/04,15:01:51,461185,1,1,0,0,0,安非安非 非常安全 第11期 14.2.28,3000,8,6,等额本息，每月还款,512,100.00,借款成功,,2014/2/28,14,288,q309283203,HR,25,465,18,0,1,1,1,0,,,,,,,,安非安非 非常安全 第11期 14.2.28,安非安非 非常安全 第11期 14.2.28,安非安非 非常安全 第11期 14.2.28
2014/03/04,15:01:56,461186,0,0,0,0,0,【其他】我要为自己创业。,3000,13,10,等额本息，每月还款,319,0.00,正在预审,10天17时18分,,0,624,z591459043,HR,10,10,0,1,0,0,0,0,其他,男,21,未婚,高中,自置无按揭,没有,本人1993年11月21号 想贷点款 去自主创业。,自主创业 用于创新 想开一家 食品店。,我没个月 工资有2000 左右，10个月就能还清
2014/03/04,15:01:58,461187,0,0,0,0,0,【实体经营】扩大经营急需用钱,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时22分,,0,114,w409776391,HR,0,0,0,0,0,0,0,0,实体经营,男,25,未婚,中专,与父母共住,没有,自己做点小买卖属于创业刚起步,想扩大一下规模资金不太充足,月收入五六千左右还算稳定
2014/03/04,15:02:01,461188,0,0,0,0,0,【累积信用】第五次借款，提高信用。,3158,22,12,等额本息，每月还款,296,100.00,借款成功,,2014/2/28,19,558,SJ371598401,HR,25,28,5,0,1,0,0,0,,,,,,,,广告行业，业务经理，底薪5000元/月。,搞高信用，备急须之用。,每月准时出粮，每月业务量提成5000-1000元之间。
2014/03/04,15:02:04,461189,0,0,0,0,0,大家好！第一次听说拍拍网可以借贷，体验下,3000,22,6,等额本息，每月还款,533,100.00,借款审批中,,2014/3/1,17,768,ycy940904,HR,10,10,0,0,0,0,0,0,,,,,,,,你好！我想体验下拍拍网的借贷服务,增加信誉评分，先用于消费,稳定收入 正式单位
2014/03/04,15:02:07,461190,0,0,0,0,0,【个人消费】个人无抵押消费借款,3000,22,12,等额本息，每月还款,281,100.00,借款成功,,2014/3/2,21,510,ljf790706,HR,24,20,1,2,0,0,0,1,,,,,,,,我有固定的工作，每月有固定的收入，能按时还款。,我想借点钱买个家电，现手头资金不够，所以想短期接一下。,我在政府事业单位上班，每月有固定的工资收入，能保证按时还款。
2014/03/04,15:02:10,461191,0,0,1,0,0,【个人消费】有借有还，第四次借款累积信用,5000,13,4,等额本息，每月还款,1285,100.00,投标已结束,,2014/2/28,14,180,jzwu1970,D,53,35,3,2,1,1,1,1,,,,,,,,外企公司高級管理員，工作七年，收入稳定。,"购置iphone 5,",工作收入工资稳定，每月发薪准时还款。
2014/03/04,15:02:12,461192,0,0,0,0,0,【其他】支助家人帮助弟弟购房,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时32分,,0,234,chenandi,HR,0,0,0,0,0,0,0,0,其他,男,28,已婚,本科,自置无按揭,没有,收入稳定每月存钱不低于8000元,帮助家人支助家人帮助弟弟购房,每月存钱不低于8000元固定收入月15000
2014/03/04,15:02:15,461193,0,0,0,0,0,【个人消费】诚信贷款、分期归还、用于创业初阶段,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时34分,,0,318,anq123,HR,10,10,0,0,0,0,0,0,个人消费,男,24,未婚,大专,与父母共住,没有,是泰安教育集团正式员工有固定收入，闲暇期间也会做点零活增加下收入,用于工作室的建设及配备设施等,每月有固定收入，有养老保险，休息期间也会打点零活 每月收入在3000元左右
2014/03/04,15:02:18,461194,0,0,0,0,0,【实体经营】经营办公耗材配件的资金周转,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天17时35分,,0,120,maomengxiong,HR,0,0,0,0,0,0,0,0,实体经营,男,32,已婚,高中,其他,没有,我是一名，办公耗材生产企业，中层管理，负责公司办公耗材配件，物料采购。,我想用这笔款项，用了周转部分利润价值高的配件，炒货。,公司有固定的工资收入，税后工资4500元，平时个人有其他经济来源。
2014/03/04,15:02:21,461195,0,0,0,0,0,【网贷体验】第一次借款，为积累信用，希望大家多多支持,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天17时37分,,0,90,tcp128,E,46,30,0,2,0,1,0,1,网贷体验,男,27,已婚,本科,自置有按揭,没有,我是一名卫生院的工作人员，每月有稳定的收入，完全可以按时还款！,主要是为了提高信用，也用于个人消费。,我是一名卫生院的工作人员，每月有稳定的收入，完全可以按时还款！
2014/03/04,15:02:24,461196,0,0,0,0,0,【个人消费】住房装饰购进材料,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时37分,,0,372,zhuxioujie,HR,0,0,0,0,0,0,0,0,个人消费,男,34,已婚,中专,自置无按揭,是,我原来是自己创业的由于经营不好和国家禁止所以强制拆迁了（粘土砖）,给房子装修用支付材料和工人费用,我现在在厂里做销售工作基本工资加提成一月也收入5000左右
2014/03/04,15:02:27,461197,0,0,0,0,0,【累积信用】看看拍拍贷能不能真的贷，积累一点经验，资金周转,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时40分,,0,114,792510303a,HR,0,0,0,0,0,0,0,0,累计信用,男,51,已婚,高中,自置无按揭,没有,资金周转，积累拍拍贷经验和信誉,临时资金周转，提高和拍拍贷的合作,以我个人信用担保，十五万以内年收入可以还
2014/03/04,15:02:30,461198,1,1,0,0,0,绝对安全标，有抵押，非提现，无逾期，站内周转(23）,3000,8,6,等额本息，每月还款,512,100.00,借款成功,,2014/2/28,14,54,wangzouming,HR,13,2068,23,0,0,0,0,0,,,,,,,,绝对安全标，有抵押，非提现，无逾期，站内周转,绝对安全标，有抵押，非提现，无逾期，站内周转,绝对安全标，有抵押，非提现，无逾期，站内周转
2014/03/04,15:02:39,461199,0,0,0,0,0,【累积信用】金钱有价`诚信无价。,3000,13,9,等额本息，每月还款,352,0.00,正在预审,10天17时39分,,0,150,a642348415,HR,0,0,0,0,0,0,0,0,累计信用,男,28,未婚,初中及以下,与父母共住,没有,本人以前一直在广州打工`自2012年回钦洲港和朋友共同发展，在钦洲港做土方倒运工程。,钱虽然不多，但希望能用诚信和努力来实现和累积个人的信誉度。,本人有固定银行存款余万，每月经济收入平价过万，贵公司可以指派工作人员实地考察。
2014/03/04,15:02:42,461200,0,0,0,0,0,【实体经营】资金周转，承兑太多,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时40分,,0,366,dzrhgm,HR,0,0,0,0,0,0,0,0,实体经营,男,34,已婚,大专,自置无按揭,是,我公司资金周转正常，主要是收的承兑太多，没有现金流动，借款主要用于承兑和现金的倒替，承兑完全可支付借款,和承兑倒替。主要是进原料，,承兑完全可支付借款，产品也可支付
2014/03/04,15:02:47,461201,0,0,0,0,0,【网贷体验】诚信做人，按时还款，谢谢各位的支持,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时40分,,0,84,woxiangdaik111,HR,13,10,0,1,0,0,0,0,网贷体验,男,26,未婚,本科,集体宿舍,没有,工作稳定，还款无忧，诚信做人，按时还款,年底资金紧张，周转一下,每个月工资稳定5千左右，还款没有压力，同时想尝试下拍拍贷贷款模式
2014/03/04,15:02:50,461202,0,0,0,0,0,【累积信用】积累信用有借有还相互帮助,3000,22,12,等额本息，每月还款,281,100.00,借款审批中,,2014/2/28,29,498,chj5363,E,27,20,0,0,0,0,0,1,,,,,,,,有稳定的收入，朋友之间融洽的关系，通过拍拍认识不同的朋友结识有缘人。,买个车载导航仪或换部手机,现在水污染严重，做净水设备行业利润不错。每月卖几台设备就行了，还款没问题。
2014/03/04,15:02:53,461203,1,1,0,0,0,只此一次，纯粹体验，确保归还,3000,9,6,等额本息，每月还款,513,100.00,借款成功,,2014/2/28,3,78,howwhen,HR,13,250,1,0,0,0,0,0,,,,,,,,安非标，首次投，保证还，会提前。,不为别的，就为体验一下拍拍贷借款全过程。,有车有房有工作，诚信当然最重要！
2014/03/04,15:02:58,461204,0,0,0,0,0,【实体经营】公益广告项目投资,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时43分,,0,84,ggbl2014,HR,0,0,0,0,0,0,0,0,实体经营,男,26,未婚,大专,与父母共住,是,石家庄本地人 公司运转正常,公益广告项目投资，户外广告牌等,我们有稳定的客户群体，公司经营良好
2014/03/04,15:03:00,461205,0,0,0,0,0,【实体经营】自己奇石店资金周转,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时43分,,0,192,lidonliang00,HR,0,0,0,0,0,0,0,0,实体经营,男,23,未婚,初中及以下,与父母共住,是,北票市人 自己经营奇石店 自己家有山 加工奇石 木化石 硅化木,自己经营的奇石店资金周转 为了能申请高额度,自己经营奇石店 自己家有山 加工奇石 木化石 硅化木
2014/03/04,15:03:03,461206,0,0,0,0,0,【实体经营】自家进货需要用资金,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时44分,,0,684,lengh841010,HR,0,0,0,0,0,0,0,0,实体经营,男,30,已婚,中专,自置无按揭,没有,本人31岁 因资金有点缺想在开个店 需要资金,开个店在本市的别的区,本身有店面月收入也2000到3000左右
2014/03/04,15:03:05,461207,0,0,0,0,0,【累积信用】第一次网贷，累计信用，完善资料,3000,13,12,等额本息，每月还款,268,0.00,投标已结束,,2014/3/15,0,432,sheng3320,E,36,25,0,3,1,0,1,1,,,,,,,,第一次参与网贷，希望能成功，谢谢各位的支持，我会完善所需资料的,用于合作项目的活动经费,事业单位工作，每月工资打开
2014/03/04,15:03:09,461208,0,0,0,0,0,【实体经营】个人服装店实体经营资金周转！！,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时51分,,0,336,mettle12,HR,24,20,0,2,0,0,0,1,实体经营,女,22,未婚,中专,与父母共住,没有,1992年7月24，女，现经营一家女装店,主要用于店面续租、进货等资金周转。,店里盈利中，12月还完，每个月都有进账，无需担心
2014/03/04,15:03:12,461209,0,0,0,0,0,【网商经营】用于开网店，现在收入有限,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天17时50分,,0,78,xiaoxiaozhao066,HR,0,0,0,0,0,0,0,0,网商经营,男,28,已婚,大专,与父母共住,是,我现在在私企 做销售,想借款用于开网店，比如手机，还有一些周围数码配件,现在每个月工资为5000圆
2014/03/04,15:03:14,461210,0,0,1,0,0,【个人消费】购买阿那曲唑药所用,7783,13,6,等额本息，每月还款,1347,100.00,投标已结束,,2014/2/28,22,588,abcd226600,E,48,30,5,5,1,1,0,1,,,,,,,,大家好，我在机关事业单位工作，有稳定的月收入。,大家好，我是要购买阿那曲唑药所用。,大家好，我在机关事业单位工作，有稳定的月收。
2014/03/04,15:03:19,461211,0,0,0,0,0,【实体经营】申请贷款用于实体经营，请批准,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时56分,,0,90,wj7338131,HR,0,0,0,0,0,0,0,0,实体经营,女,39,未婚,初中及以下,自置有按揭,没有,七五年出生，做网店四年，饭店四年，近期准备把网店好好发展一下，由于我是做代购的，时间比较长，所以准备贷款多备点货，缩短资金周转周期，另外我淘宝贷款大半年了，都是按期还款。,准备这笔钱用于网店的实体经营,目前经营两家网店，还有一个经营四年的饭店（和朋友合伙的），效益还不错，饭店月收入大约八九千。
2014/03/04,15:03:22,461212,1,1,0,0,0,第5标，不提现，每期会提前还款！,3244,8,6,等额本息，每月还款,553,100.00,借款成功,,2014/2/28,16,60,wering,HR,23,3408,6,0,0,0,0,0,,,,,,,,第5标，不提现，每期提前还款,第5标，不提现，每期提前还款,第5标，不提现，每期提前还款
2014/03/04,15:03:25,461213,0,0,0,0,0,【个人消费】日常生活消费，买辆电动车上下班用。,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时55分,,0,204,hu5739265,HR,0,0,0,0,0,0,0,0,个人消费,男,33,已婚,大专,租用,没有,我在公司上班，工资固定可靠。,买辆电动车上下班用，住地较远！,我们公司工资较高，且稳定，公司有注册，还款大可放心。
2014/03/04,15:03:28,461214,0,0,0,0,0,【实体经营】扩大经营 组织货源,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时55分,,0,144,zhaozhifeng8185,HR,0,0,0,0,0,0,0,0,实体经营,女,34,已婚,大专,自置无按揭,没有,集宁区名媛婚纱 经营销售婚纱化妆 婚庆 一体 经营2年,扩大经营 组织货源 购进婚纱,月销售2万 收入稳定
2014/03/04,15:03:31,461215,0,0,1,0,0,【累积信用】为了提高信用额度,6971,13,3,等额本息，每月还款,2375,100.00,投标已结束,,2014/2/28,19,300,guoke1987828,E,49,35,4,1,1,1,1,1,,,,,,,,本人在一家汽车4S店做主管，收入稳定，无房贷，无车贷，收入稳定，日常开销不大，有按时还款的能力。,为了提高信用额度来发布借款，信用好，按时还款,本人在一家汽车4S店做主管，收入稳定，无房贷，无车贷，收入稳定，日常开销不大，有按时还款的能力
2014/03/04,15:03:35,461216,0,0,0,0,0,【个人消费】最近分手，想一个人短途出去旅游，但是是净身出户，所以想贷款。,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天17时57分,,0,84,xiehongwen,HR,0,0,0,0,0,0,0,0,个人消费,男,24,未婚,大专,自置无按揭,没有,在上市公司上班，工资3000左右。,最近分手，想一个人短途出去旅游，但是是净身出户，所以想贷款。,工资按时发放，银行流水每月入账3000以上，信用卡额度15000，无不良记录。
2014/03/04,15:03:38,461217,0,0,0,0,0,【网贷体验】体验网贷，体验生活,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天17时57分,,0,66,xzt88,HR,13,10,0,0,0,0,0,0,网贷体验,男,41,已婚,本科,自置无按揭,是,工薪族，有稳定收入，想体验网贷体验生活,把爱车维修保养一下，加装内饰。,工资收入每月约4000元
2014/03/04,15:03:40,461218,0,0,1,0,0,【实体经营】我做网店的，销售表演服，自己做自己卖的，希望大家支持,3000,13,7,等额本息，每月还款,447,100.00,借款成功,,2014/2/28,10,606,gaolu0530,HR,22,20,1,2,0,0,0,1,,,,,,,,我是做表演服饰，舞蹈服，经营网店，自己做自己卖的，现在急需资金,我是做表演服饰，舞蹈服，经营网店，自己做自己卖的，需要周转资金,网销利润来还这笔款，希望大家支持
2014/03/04,15:03:43,461219,0,0,0,0,0,【个人消费】资金周转，消费贷款,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天18时01分,,0,114,dee709394,HR,14,0,0,2,0,0,0,0,个人消费,男,28,未婚,初中及以下,与父母共住,没有,我是广东省惠州市人，在当地的农产品公司上班已近将近一年。,本月消费超出预算，需要资金周转。,我每个月平均收入是5000元。
2014/03/04,15:03:45,461220,0,0,0,0,0,【累积信用】增加信用，决不失信,5110,20,4,等额本息，每月还款,1331,100.00,借款成功,,2014/2/28,19,108,Mr__king,E,43,25,6,0,1,0,1,1,,,,,,,,稳定工作，有房产，有建筑机械设备6台，每月收取固定租金,增加信用额度，决不失信，欢迎投标,工作稳定，有房产，有固定建筑机械租金收入，还款没问题，欢迎投标
2014/03/04,15:03:48,461221,0,0,0,0,0,【实体经营】周转资金，储备货物,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时03分,,0,312,jsdhtl,HR,0,0,0,0,0,0,0,0,实体经营,男,36,已婚,中专,自置无按揭,没有,我是一秸秆加工经营者，主要经营花生秧，豆秸，玉米秸秆加工。,储存货物，资金流转扩大经营范围,根据银行流水，每个月在4--5万元左右，另外现金交易比较多
2014/03/04,15:03:52,461222,0,0,0,0,0,【累积信用】高级IT白领，纯粹积累信用,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时03分,,0,750,WinstonW,HR,10,10,0,0,0,0,0,0,累计信用,男,36,已婚,研究生及以上,自置有按揭,没有,高级IT白领，外企工作，收入稳定，研究生以上学历。,体验网贷，纯粹积累信用,工资月收入15K以上，没有任何还款压力，纯粹为积累信用。
2014/03/04,15:03:54,461223,0,0,1,0,0,【累积信用】累积信用希望可以方便以后做生意,4000,13,6,等额本息，每月还款,693,100.00,投标已结束,,2014/2/28,11,312,zenghuanhuan,E,37,25,3,2,0,0,1,1,,,,,,,,我是专门做鞋子贸易的，外贸内贸都有做,希望能够增加信誉度方便以后做生意周转,鞋业销售经理 底薪3000加提成
2014/03/04,15:03:56,461224,1,1,0,0,0,安非安非 非常安全 第12期 14.2.28,3000,8,6,等额本息，每月还款,512,100.00,借款成功,,2014/2/28,4,348,q309283203,HR,25,465,18,0,1,1,1,0,,,,,,,,安非安非 非常安全 第12期 14.2.28,安非安非 非常安全 第12期 14.2.28,安非安非 非常安全 第12期 14.2.28
2014/03/04,15:04:01,461225,0,0,0,0,0,【实体经营】想开个干洗店，资金不足,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时10分,,0,132,fangyoubao520,HR,0,0,0,0,0,0,0,0,实体经营,男,27,丧偶,高中,集体宿舍,没有,正常上班族，有稳定工作和收入,是因为资金不足吧，最好能多贷点,有稳定工作，有稳定收入
2014/03/04,15:04:07,461226,0,0,0,0,0,【实体经营】借款用来周转资金,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时11分,,0,144,zhanghangxi23,HR,0,0,0,0,0,0,0,0,实体经营,男,33,已婚,本科,自置无按揭,是,我是刚从企业辞职后下来。开始创业,用于公司周转资金，运费的结算,现在我有三部半挂车，还款没问题，就是贷的少点
2014/03/04,15:04:12,461227,0,0,1,0,0,【个人消费】诚信借款，稳定收入，事业单位正式员工,5410,13,12,等额本息，每月还款,484,0.00,投标已结束,,2014/2/28,0,330,moonwell123,E,31,15,3,2,1,0,1,0,,,,,,,,工作稳定，按月付款，无压力,春季旅游，购买液晶电视,年薪5万，事业单位编制
2014/03/04,15:04:15,461228,0,0,0,0,0,【实体经营】准备开店，流动资金短缺,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时12分,,0,78,wangxiaolei1126,HR,0,0,0,0,0,0,0,0,实体经营,女,36,已婚,大专,自置有按揭,没有,我在医院工作，是儿科医生，在我县医院工作8年，老公经营一家超市，有自购商品住宅一套,想开第二家超市，流动资金不充足,我自己打卡工资1400，月收入6000左右，老公超市收入15000左右
2014/03/04,15:04:19,461229,0,0,0,0,0,网贷体验和积累信用，再接再励继续申请，总有能通过时,3600,22,12,等额本息，每月还款,337,100.00,借款审批中,,2014/2/28,18,222,hw6875939,E,42,20,0,3,1,1,0,0,,,,,,,,在大型国有企业（中建海峡建设发展有限公司）上班，每个月有固定的建行打卡工资（5-7000元），有稳定的还款能力。,再接再励继续申请，总有能通过时。网贷体验和积累良好信用。,在大型国有企业（中建海峡建设发展有限公司）上班，每个月有固定的建行打卡工资（5-7000元），平常节日也有一些福利。去年支付宝账单10多万，绝对有能力还款，请各位大大放心。
2014/03/04,15:04:22,461230,0,0,0,0,0,【网贷体验】工资不高。但稳定，想有个副业增加收入,3000,13,7,等额本息，每月还款,448,0.00,投标已结束,,2014/3/15,0,672,q1007921678,HR,14,10,0,1,0,0,0,0,,,,,,,,本人城管工作2年，收入稳定，但不是很高，想借点看看能不能搞个副业,想搞个副业，提高下收入,城管工作，工资打卡上，交有5险1金。。。
2014/03/04,15:04:25,461231,0,0,0,0,0,【个人消费】紧急求助3000还信用卡,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时16分,,0,384,kkk2014,HR,0,0,0,0,0,0,0,0,个人消费,男,25,未婚,大专,集体宿舍,没有,和朋友一起开超市，做了一年多了押了很多钱，现在主要发展快餐了，但前期投入了，还不怎么挣钱，但我们每天都很努力的去发展，相信3个月之后就能挣钱了。,暂时借一些钱还银行信用卡,等超市和快餐运营稳定了，每个月我就能有固定的2000-3000收入了
2014/03/04,15:04:28,461232,0,0,0,0,0,【个人消费】日常购物，生活消费,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时18分,,0,222,gongguoxin1983,HR,14,10,0,1,0,1,0,0,个人消费,男,31,未婚,大专,租用,没有,在一家上市企业公司任职，现担任技术部主管职位，平均月入9000元/月，工作稳定，收入可观。,朋友今年搬入新屋，购买生活家电，送给朋友进住新屋的礼物,有比较稳定的工作，而且收入正常良好，除此还有一定的投资收入，信用良好，诚实守信。
2014/03/04,15:04:34,461233,0,0,0,0,0,【个人消费】家里急需建组合灶,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天18时18分,,0,114,ABC316811864,HR,0,0,0,0,0,0,0,0,个人消费,男,28,未婚,初中及以下,与父母共住,没有,你好，我来自农村，从事厨师，08年自己开一家饭店，因经验不足导致关闭，后一直外出打工！,家里刚刚建的新房子，因旧房子是泥土房怕要倒塌怕，但新房子厨房又没建好的情况下，急需要钱买组合灶！因为家里爸爸也向农村信用社贷款了，亲戚朋友也借了，实在没办法只能在这望有能力的你帮助下！,我从事厨房工作电脑了，因钱给家里建房子了！所以才贷款的，我保证这钱我在7个月后及时归还
2014/03/04,15:04:36,461234,0,0,0,0,0,【其他】累计自己的信用度,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时19分,,0,642,jiajia3262895,HR,0,0,0,0,0,0,0,0,其他,男,26,未婚,大专,自置有按揭,是,我是一名职员 想自己在做点兼职,投资 经营点实物 做市区网店,我每月有固定工资 自己有自己的实物店
2014/03/04,15:04:39,461235,0,0,0,0,0,【个人消费】累积信用，诚信借款,5410,20,12,等额本息，每月还款,502,1.85,投标已结束,,2014/2/28,1,582,moonwell123,E,31,15,3,2,1,0,1,0,,,,,,,,大学事业单位正式编制员工，还款能力强,春季旅游，购买液晶电视,工作稳定，年薪5万，按月还款
2014/03/04,15:04:42,461236,1,1,0,0,0,安全标，不提现，谢谢支持！,5000,8,6,等额本息，每月还款,853,100.00,借款成功,,2014/2/28,18,558,caufish,HR,18,443,9,0,0,0,1,0,,,,,,,,安全标，不提现，谢谢支持！,安全标，不提现，谢谢支持！,安全标，不提现，谢谢支持！
2014/03/04,15:04:46,461237,0,0,0,0,0,【个人消费】预购置笔记本电脑一台,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时25分,,0,54,fengyu600,HR,0,0,0,0,0,0,0,0,个人消费,男,36,已婚,大专,与父母共住,没有,本人是一名教育工作者，参加工作16年,借款想购置一台笔记本电脑,本人现在月工资两千元
2014/03/04,15:04:50,461238,0,0,0,0,0,【实体经营】个体用户网店资金周转,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时27分,,0,234,werty6123,HR,0,0,0,0,0,0,0,0,实体经营,男,20,未婚,中专,与父母共住,没有,个人工厂设计部设计师，因需要自用网店周转,网店保证金和装修资金周转,个人，家庭工厂朋友网店
2014/03/04,15:04:53,461239,0,0,0,0,0,【网贷体验】听说网络借贷很久了，一直想体验一下，且毕业论文想写相关的题材,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时26分,,0,108,jcy9941,HR,0,0,0,0,0,0,0,0,网贷体验,女,25,未婚,研究生及以上,与父母共住,是,我是一名即将毕业的研究生，想通过拍拍贷体验一下网络借贷,我是一名即将毕业的研究生，想通过拍拍贷体验一下网络借贷,即将毕业，毕业工作后可用工资还款
2014/03/04,15:04:56,461240,0,0,0,0,0,累积信用可以方便以后做生意,3000,24,12,等额本息，每月还款,284,100.00,投标已结束,,2014/3/1,19,150,6a1516,HR,13,10,0,2,0,0,0,0,,,,,,,,我是上班族，现在累积信用，方便以后用,想做下淘宝，也是累积信用，,我每个月都有固定的工作，这可以放心
2014/03/04,15:04:58,461241,0,0,1,0,0,【累积信用】了解网络金融产品、累积信用,4000,13,4,等额本息，每月还款,1028,100.00,借款审批中,,2014/2/28,11,192,pipeyuan,HR,17,10,2,0,0,0,0,0,,,,,,,,从IT转行到建筑行业，希望了解互联网金融服务，探寻未来资本市场融资的新方向,无特别用途，了解、测算各环节费用等情况,建筑公司高管，底薪10万加项目提成。
2014/03/04,15:05:01,461242,0,0,0,0,0,【网贷体验】体验一下网贷的真实可靠性,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天18时27分,,0,180,hcc5211314,HR,10,10,0,0,0,0,0,1,网贷体验,女,23,已婚,中专,自置无按揭,没有,本人已婚，供养人数一个，夫妻两个有固定工作，自购住房两套大产权,用于个人消费，体验一下网贷的真实可靠性,夫妻双方有固定工作，本人月资3000，丈夫3500.
2014/03/04,15:05:04,461243,0,0,0,0,0,【个人消费】急需用于个人消费,3000,13,12,等额本息，每月还款,268,0.00,正在预审,10天18时28分,,0,420,a176355390,HR,0,0,0,0,0,0,0,0,个人消费,男,25,未婚,大专,租用,没有,暂时属于自由职业，正在积极找工作,支付日常生活消费等个人消费,可以及时还款，正在兼职中
2014/03/04,15:05:08,461244,0,0,0,0,0,【网贷体验】享受一下网贷 诚信为本,3000,13,7,等额本息，每月还款,448,0.00,正在预审,10天18时30分,,0,216,sghfawktg,E,26,20,0,1,0,0,0,1,网贷体验,男,29,已婚,高中,与父母共住,没有,享受一下网贷 诚信为本,家用和体验网贷 实践网贷,有借有还 再借不难 永不托欠
2014/03/04,15:05:10,461245,0,0,0,0,0,【个人消费】新房进行装修，资金不充足,3000,22,7,等额本息，每月还款,461,100.00,借款审批中,,2014/2/28,17,246,zzg00000,HR,10,10,0,0,0,0,0,0,,,,,,,,所在公司为心连心化肥集团的控股子公司，盈利能力强，有稳定的收入来源,新房装修，现自筹资金不能达到预期装修标准,每月工资2100--2500之间，且最近要升职，升职后预计月收入3000元左右
